TbapName,TbapPrice,TbapDescription,TbapCreatedAt,TbapUpdatedAt
Danishes - Mini Cheese,457795,"Other secondary chronic gout, vertebrae",11/11/2024,1/9/2024
Clams - Canned,334032,"Sltr-haris Type IV physeal fx phalanx of right toe, 7thK",12/7/2024,1/6/2024
Ice Cream Bar - Drumstick,183980,"Oth fx shaft of l tibia, 7thJ",1/15/2024,7/17/2024
Wine - Baron De Rothschild,361471,"Rifle, shotgun and larger firearm discharge, undet intent",9/19/2024,3/2/2024
Yukon Jack,76008,"Matern care for known or susp placntl insuff, 2nd tri, fts3",3/15/2024,4/23/2024
Chips - Potato Jalapeno,217789,Tinea barbae and tinea capitis,9/7/2024,2/15/2024
Carbonated Water - Blackberry,387092,"Displ transverse fx shaft of r femr, 7thG",3/9/2024,2/28/2024
Wanton Wrap,332745,3-part fracture of surgical neck of right humerus,12/17/2024,12/28/2023
Coriander - Seed,455185,"Toxic effect of sulfur dioxide, accidental, subs",4/21/2024,12/30/2023
Wine - Peller Estates Late,433826,"Unsp focal TBI w LOC of 1-5 hrs 59 min, subs",2/29/2024,7/23/2024
"Chilli Paste, Ginger Garlic",202109,Chronic tonsillitis and adenoiditis,7/12/2024,7/10/2024
"Oranges - Navel, 72",19933,"Athscl nonaut bio bypass of the extrm w rest pain, bi legs",8/9/2024,4/5/2024
Fireball Whisky,157229,"Lacerat extensor musc/fasc/tend finger at wrs/hnd lv, subs",9/23/2024,9/24/2024
Tomatoes - Hot House,271613,"Flail joint, unspecified shoulder",12/24/2023,9/15/2024
Energy Drink Red Bull,196639,Sepsis following complete or unsp spontaneous abortion,11/30/2024,10/4/2024
"Soup - Campbells, Classic Chix",171436,"Polyp of middle ear, bilateral",7/7/2024,3/16/2024
"Vodka - Lemon, Absolut",167059,"Driver of bus injured in collision w oth mv in traf, sequela",12/26/2023,9/25/2024
"Lid - High Heat, Super Clear",18791,"Nondisp fx of body of hamate bone, l wrs, 7thK",6/6/2024,9/21/2024
Veal - Sweetbread,310080,"Eyelid retraction right eye, unspecified eyelid",3/12/2024,3/10/2024
Lamb - Sausage Casings,478369,"Drug-induced chronic gout, left wrist, with tophus (tophi)",12/12/2024,7/3/2024
Wine - Beringer Founders Estate,231409,"Disp fx of lunate, unsp wrist, subs for fx w routn heal",5/11/2024,11/14/2024
"Bread - White, Unsliced",217623,"Driver of pk-up/van inj in clsn w rail trn/veh in traf, sqla",7/23/2024,5/14/2024
Spinach - Frozen,491349,"Oth fx shaft of left ulna, subs for clos fx w nonunion",9/24/2024,6/2/2024
Wine - Rosso Toscano Igt,372617,"Other physeal fracture of phalanx of left toe, 7thP",8/20/2024,7/18/2024
Plate Pie Foil,461165,"Sltr-haris Type II physeal fx phalanx of left toe, sequela",4/24/2024,1/3/2024
Jagermeister,362831,"I/I react d/t implnt elec nstim of spinal cord, lead, subs",1/22/2024,1/3/2024
Carrots - Mini Red Organic,340474,"Torus fracture of lower end of unsp tibia, init for clos fx",6/3/2024,8/30/2024
Langers - Ruby Red Grapfruit,49630,"Overexertion from strenuous movement or load, init",10/4/2024,9/22/2024
Juice - Orange,163313,"Injury of unsp nerve at forearm level, unsp arm, sequela",6/7/2024,6/13/2024
Wine - Chianti Classico Riserva,126983,Unspecified injury of small intestine,10/1/2024,11/25/2024
Table Cloth 81x81 White,97336,"Inj great saphenous at hip and thi lev, right leg, sequela",3/27/2024,4/14/2024
"Cake Circle, Foil, Scallop",493850,Contusion of upper arm,11/6/2024,12/27/2023
Cheese Cheddar Processed,99295,"Karyotype 46, X iso (Xq)",9/19/2024,5/8/2024
Juice - Ocean Spray Kiwi,211585,"Arteriovenous fistula, acquired",9/21/2024,5/16/2024
Tomatoes - Hot House,189107,Other specified disorders of right ear,7/31/2024,2/24/2024
"Pepper - Red, Finger Hot",298476,"Acute on chronic slipped upper femoral epiphysis, unsp hip",5/13/2024,11/9/2024
"Olives - Black, Pitted",44584,Drug/chem diabetes mellitus w skin complications,1/2/2024,1/16/2024
"Cheese - Brie, Triple Creme",10272,Injury of greater saphenous vein at hip and thigh level,11/21/2024,12/12/2024
Spice - Paprika,58445,Underdosing of methadone,11/27/2024,8/23/2024
"Vinegar - Balsamic, White",458535,"Disp fx of lateral condyle of l femr, 7thJ",10/19/2024,9/16/2024
"Sugar - Brown, Individual",306027,"Toxic effect of substances, accidental, sequela",2/12/2024,10/13/2024
Wanton Wrap,155166,Other complications specific to multiple gestation,2/19/2024,7/9/2024
Table Cloth 144x90 White,472557,"Displaced avulsion fracture of left ischium, init",7/1/2024,5/23/2024
"Oil - Truffle, Black",196000,Oral contraceptives,6/26/2024,4/9/2024
Bread - Dark Rye,74460,Unspecified ectropion of right upper eyelid,2/22/2024,9/23/2024
"Tart Shells - Savory, 3",64119,"Superior glenoid labrum lesion of right shoulder, sequela",3/22/2024,11/25/2024
Papayas,84826,Postpartum coagulation defects,12/4/2024,10/22/2024
