tbap_name,tbap_price,tbap_description,tbap_created_at,tbap_updated_at
Pasta - Agnolotti - Butternut,422514,"Unspecified open wound, right ankle",5/13/2024,6/10/2024
Chips - Miss Vickies,455409,"Stress fracture, left fibula, sequela",8/16/2024,5/3/2024
"Beans - Navy, Dry",145824,Traum hemor left cerebrum w LOC of 31-59 min,9/11/2024,2/17/2024
Flower - Leather Leaf Fern,467329,"Dislocation of distal interphaln joint of l rng fngr, init",3/1/2024,6/29/2024
Ginger - Ground,103778,Occupant of anml-drn vehicle injured in clsn w 2/3-whl mv,3/19/2024,12/23/2023
Cookie Dough - Peanut Butter,230514,"Disp fx of triquetrum bone, r wrist, subs for fx w malunion",8/18/2024,5/10/2024
"Pork - Back, Long Cut, Boneless",303092,"Age-rel osteopor w crnt path fx, r shldr, 7thG",7/2/2024,11/23/2024
"Sugar - Brown, Individual",52786,Ca in situ skin of right ear and external auricular canal,10/26/2024,2/25/2024
Tamarind Paste,299624,Burn of cornea and conjunctival sac,8/13/2024,4/26/2024
Container - Clear 16 Oz,43129,"Toxic effect of smoke, undetermined",5/30/2024,3/14/2024
Arrowroot,371405,Loose body in left shoulder,6/1/2024,12/2/2024
Calaloo,341158,"Periprosth fx around internal prosth r shoulder jt, sequela",4/24/2024,7/27/2024
Mushroom - Crimini,324098,"Benign carcinoid tumors of the appendix, lg int, and rectum",10/14/2024,9/24/2024
Cheese Cloth No 100,99341,"Displ spiral fx shaft of r femr, 7thE",10/9/2024,4/10/2024
Huck Towels White,332752,Allergy status to serum and vaccine status,8/10/2024,8/27/2024
Wine - Cabernet Sauvignon,289627,"Unsp injury of anterior tibial artery, unspecified leg",3/21/2024,12/4/2024
Wine - Malbec Trapiche Reserve,481064,"Sltr-haris Type I physl fx upper end radius, unsp arm, init",10/9/2024,2/20/2024
Wine - Pinot Noir Latour,429614,"Contus/lac cereb, w LOC w death d/t brain inj bf consc, sqla",5/20/2024,3/3/2024
"Soup - Knorr, French Onion",127579,Cytologic evidence of malignancy on smear of anus,12/15/2024,9/24/2024
Island Oasis - Raspberry,234762,"Injury to barefoot water-skier, sequela",7/10/2024,7/21/2024
Wine - Magnotta - Cab Sauv,245217,"Laceration of unspecified kidney, unspecified degree",12/28/2023,3/24/2024
Mahi Mahi,273212,"Displaced osteochondral fracture of unsp patella, init",9/17/2024,9/18/2024
Savory,21940,Oth infections w sexl mode of transmiss compl preg/chldbrth,8/3/2024,6/18/2024
Pork - Bacon Cooked Slcd,455691,Aphasia following nontraumatic subarachnoid hemorrhage,4/20/2024,4/7/2024
Sauce - Hoisin,265098,"Mech compl of prosthetic orbit of left eye, subs encntr",10/14/2024,8/3/2024
Muffin Mix - Corn Harvest,367794,"Mech compl of breast prosthesis and implant, sequela",1/1/2024,11/17/2024
Quail - Jumbo Boneless,42645,Secondary cataract,5/30/2024,3/4/2024
Foam Tray S2,250435,"Breakdown of implnt elec nstim of spinal cord lead, init",5/6/2024,6/11/2024
Olives - Morracan Dired,35029,"Complete traumatic amp at knee level, r low leg, sequela",7/15/2024,5/3/2024
Beef Cheek Fresh,149212,"Poisn by oth agents aff the cardiovasc sys, undet, sequela",5/3/2024,3/23/2024
Rabbit - Saddles,247811,Other varicella complications,10/31/2024,11/15/2024
Ostrich - Fan Fillet,138076,"Periprosth fx around internal prosth r elbow joint, subs",3/7/2024,3/15/2024
Tea - Lemon Scented,458300,"Dislocation of metacarpophalangeal joint of finger, sequela",11/18/2024,2/21/2024
Pie Filling - Pumpkin,233337,Squamous cell carcinoma skin/ ear and external auric canal,4/27/2024,9/3/2024
"Peas - Pigeon, Dry",197287,"Oth fx lower end of l tibia, subs for clos fx w routn heal",2/1/2024,4/12/2024
Cherries - Fresh,63419,"Villonodular synovitis (pigmented), right hand",12/19/2024,2/12/2024
Pastry - Trippleberry Muffin - Mini,458809,"Wedge comprsn fx T9-T10 vertebra, subs for fx w delay heal",1/14/2024,5/7/2024
Pastry - Apple Large,65982,Oth war operations occurring after cessation of hostilities,2/29/2024,1/20/2024
Blouse / Shirt / Sweater,55539,"Parachutist injured on landing, initial encounter",7/21/2024,9/13/2024
"Nut - Pecan, Halves",438506,"Juvenile myoclonic epilepsy, intractable",5/20/2024,1/27/2024
"Cheese - Woolwich Goat, Log",409504,"Laceration of popliteal vein, right leg",10/11/2024,6/16/2024
Wiberg Super Cure,381264,Oth complication of vascular prosth dev/grft,8/18/2024,2/6/2024
"Juice - Clamato, 341 Ml",329516,Partial traumatic MCP amputation of right thumb,8/14/2024,3/29/2024
Nut - Pumpkin Seeds,193747,"Bent bone of unsp ulna, subs for clos fx w delay heal",12/21/2023,3/20/2024
Vector Energy Bar,122639,"Partial traumatic amputation at r shoulder jt, sequela",1/5/2024,1/19/2024
Salt - Celery,55185,"Person outside 3-whl mv inj in clsn w hv veh nontraf, init",1/21/2024,1/5/2024
Sauce - Oyster,120546,"Maternal care for damage to fetus from alcohol, fetus 1",5/8/2024,1/24/2024
Rolled Oats,156875,"Other anterior dislocation of right hip, sequela",6/22/2024,7/22/2024
Ginger - Crystalized,175106,Irritability and anger,7/8/2024,12/10/2024
